pair,preposition,iou,experiment_path
preposition-subject,besides,0.0,experiments/400153
preposition-object,besides,0.0,experiments/400153
preposition-verb,besides,0.0,experiments/400153
preposition-subject,close to,0.0005067139863967896,experiments/89181
preposition-object,close to,0.0008295312873087823,experiments/89181
preposition-verb,close to,0.006329114083200693,experiments/89181
preposition-subject,full of,0.0,experiments/406005
preposition-object,full of,0.0,experiments/406005
preposition-subject,by,0.0,experiments/474914
preposition-object,by,0.0,experiments/474914
preposition-verb,by,0.0,experiments/474914
preposition-subject,out of,0.0,experiments/445648
preposition-object,out of,0.0,experiments/445648
preposition-verb,out of,0.0,experiments/445648
preposition-subject,underneath,0.006369426846504211,experiments/539421
preposition-object,underneath,0.0,experiments/539421
preposition-subject,out,0.0,experiments/532615
preposition-object,out,0.0,experiments/532615
preposition-subject,over,0.0,experiments/234200
preposition-object,over,0.0,experiments/234200
preposition-subject,by,0.0,experiments/683896
preposition-object,by,0.0,experiments/683896
preposition-verb,by,0.0,experiments/683896
preposition-subject,around,0.046222835779190063,experiments/767578
preposition-object,around,0.006862745154649019,experiments/767578
preposition-verb,around,0.5,experiments/767578
preposition-subject,as,0.2745961844921112,experiments/556566
preposition-object,as,0.0,experiments/556566
preposition-verb,as,0.029154518619179726,experiments/556566
preposition-subject,into,0.16182811558246613,experiments/288306
preposition-object,into,0.14650766551494598,experiments/288306
preposition-verb,into,0.0,experiments/288306
preposition-subject,up to,0.0,experiments/516848
preposition-object,up to,0.0,experiments/516848
preposition-verb,up to,0.0,experiments/516848
preposition-subject,during,0.01087890099734068,experiments/557521
preposition-object,during,0.0797872319817543,experiments/557521
preposition-subject,in,0.0690668597817421,experiments/120292
preposition-object,in,0.005340454168617725,experiments/120292
preposition-verb,in,0.0,experiments/120292
preposition-subject,at,0.0,experiments/437511
preposition-object,at,0.0,experiments/437511
preposition-verb,at,0.0,experiments/437511
preposition-subject,off,0.0,experiments/728865
preposition-object,off,0.0,experiments/728865
preposition-verb,off,0.0,experiments/728865
preposition-subject,on,0.0,experiments/222017
preposition-object,on,0.0,experiments/222017
preposition-verb,on,0.0,experiments/222017
preposition-subject,down into,0.0,experiments/28629
preposition-object,down into,0.0,experiments/28629
preposition-verb,down into,0.0,experiments/28629
preposition-subject,to,0.0,experiments/627885
preposition-object,to,0.0,experiments/627885
preposition-verb,to,0.0,experiments/627885
preposition-subject,off,0.0,experiments/428289
preposition-object,off,0.0,experiments/428289
preposition-subject,towards,0.0,experiments/622459
preposition-object,towards,0.0,experiments/622459
preposition-subject,out,0.0,experiments/379917
preposition-object,out,0.0,experiments/379917
preposition-verb,out,0.0,experiments/379917
preposition-subject,up,0.0,experiments/256138
preposition-object,up,0.0,experiments/256138
preposition-subject,up of,0.0,experiments/186764
preposition-object,up of,0.0,experiments/186764
preposition-verb,up of,0.0,experiments/186764
preposition-subject,next to,0.0,experiments/823538
preposition-object,next to,0.0,experiments/823538
preposition-verb,next to,0.0,experiments/823538
preposition-subject,from,0.0,experiments/42201
preposition-object,from,0.0,experiments/42201
preposition-subject,with,0.0,experiments/355611
preposition-object,with,0.0,experiments/355611
preposition-verb,with,0.0,experiments/355611
preposition-subject,among,0.628923773765564,experiments/365178
preposition-object,among,0.0,experiments/365178
preposition-verb,among,0.02486678585410118,experiments/365178
preposition-subject,in to,0.0,experiments/720190
preposition-object,in to,0.10133744776248932,experiments/720190
preposition-verb,in to,0.15450644493103027,experiments/720190
preposition-subject,near,0.11314984411001205,experiments/782299
preposition-object,near,0.0,experiments/782299
preposition-verb,near,0.0,experiments/782299
preposition-subject,out,0.0,experiments/267879
preposition-object,out,0.0,experiments/267879
preposition-verb,out,0.0,experiments/267879
preposition-subject,on,0.30684930086135864,experiments/313606
preposition-object,on,0.17372730374336243,experiments/313606
preposition-verb,on,0.4384405016899109,experiments/313606
preposition-subject,against,0.0,experiments/736388
preposition-object,against,0.0,experiments/736388
preposition-subject,underneath,0.7676470875740051,experiments/410320
preposition-object,underneath,0.0,experiments/410320
preposition-subject,between,0.0,experiments/609863
preposition-object,between,0.0,experiments/609863
preposition-verb,between,0.0,experiments/609863
preposition-subject,up of,0.0,experiments/305481
preposition-object,up of,0.0,experiments/305481
preposition-verb,up of,0.0,experiments/305481
preposition-subject,around,0.5492050051689148,experiments/547444
